d_country,d_region,d_city
ad,02,canillo
ad,03,encamp
ad,04,arinsal
ad,04,la massana
ad,04,sispony
ad,05,ordino
ad,06,certers
ad,07,andorra la vella
ad,?,?
ae,?,?
ae,aj,ajman
ae,aj,al bustan
ae,aj,bustan
ae,aj,marina
ae,aj,nakheel
ae,az,?
ae,az,abu dhabi
ae,az,al ain
ae,az,al ittihad
ae,az,al khazna
ae,az,ghantoot
ae,az,yas island
ae,du,?
ae,du,al karama
ae,du,al kifaf
ae,du,al rashidiya
ae,du,deira
ae,du,dubai
ae,du,greens
ae,du,international city
ae,du,jumeirah
ae,du,tecom
ae,fu,?
ae,fu,al fujayrah
ae,rk,ras al khaimah
ae,sh,sharjah
ae,uq,umm al quwain
af,?,?
af,ba,bamyan
af,ba,kabuli
af,ba,mazar-e sharif
af,bd,sarkani
af,fy,badghis
af,gh,ghazni
af,gh,omran
af,gh,roshan
af,he,herat
af,ka,adam khan
af,ka,haji yaqoub
af,ka,kabul
af,ka,kandahar
af,kd,kunduz
af,kh,khost
af,na,jalalabad
af,pa,kabuli
af,pi,gardez
af,sa,baharak
af,sa,maimana
ag,03,coolidge
ag,03,piggotts
ag,04,all saints
ag,04,blue waters
ag,04,crosbies
ag,04,st johns
ag,06,falmouth
ag,07,parham
ag,08,freetown
ag,10,codrington
ag,11,redonda
ag,?,?
ai,?,?
ai,no,george hill
ai,no,the valley
al,01,berat
al,01,kucove
al,02,durres
al,02,kruje
al,02,shijak
al,03,elbasan
al,03,gramsh
al,03,librazhd
al,03,peqin
al,03,perparim
al,04,fier
al,04,patos
al,05,gjirokaster
al,05,permet
al,05,tepelene
al,06,bilisht
al,06,korce
al,06,pogradec
al,07,kukes
al,08,lezhe
al,08,rubik
al,09,burrel
al,09,peshkopi
al,10,blerim
al,10,shkoder
al,11,kamez
al,11,kashar
al,11,kavaje
al,11,tirana
al,11,vore
al,12,sarande
al,12,vlore
al,?,?
am,?,?
am,ag,aparan
am,ag,ashnak
am,ag,ashtarak
am,ar,ararat
am,ar,artashat
am,ar,avshar
am,ar,masis
am,av,apaga
am,av,armavir
am,av,vagharshapat
am,er,yerevan
am,gr,gavar
am,gr,sevan
am,kt,abovyan
am,kt,balahovit
am,kt,byureghavan
am,kt,charentsavan
am,kt,hrazdan
am,kt,mrgashen
am,kt,nor geghi
am,kt,tzaghkadzor
am,lo,alaverdi
am,lo,stepanavan
am,lo,tashir
am,lo,vanadzor
am,sh,akhuryan
am,sh,artik
am,sh,gyumri
am,sh,shirak
am,su,goris
am,su,kapan
am,su,sisian
am,tv,azatamut
am,tv,bagratashen
am,tv,berd
am,tv,dilijan
am,tv,ijevan
am,tv,noyemberyan
am,vd,jermuk
am,vd,malishka
am,vd,yeghegnadzor
an,?,?
ao,?,?
ao,bg,ambriz
ao,bg,baia farta
ao,bg,bela vista
ao,bg,biopio
ao,bg,cubal
ao,bg,ganda
ao,bg,lobito
ao,bg,paredes
ao,bg,piri
ao,bg,ucua
ao,bi,andulo
ao,bi,chicala
ao,bi,kuito
ao,bi,nharea
ao,ca,cabinda
ao,cc,longa
ao,cn,aldeia nova
ao,cn,camabatela
ao,cn,dondo
ao,cn,ngombe
ao,cn,tango
ao,cn,xangongo
ao,cu,capolo
ao,cu,cariango
ao,cu,gabela
ao,cu,mussende
ao,cu,pambangala
ao,cu,porto amboim
ao,cu,sumbe
ao,hu,caluquembe
ao,hu,huambo
ao,hu,huila
ao,hu,kuvango
ao,hu,lubango
